linha,tipo_cartao,n
362 - Siqueira/V.M.S./PARA,Estudante,724
362 - Siqueira/V.M.S./PARA,Gratuidade,334
362 - Siqueira/V.M.S./PARA,Inteira,914
362 - Siqueira/V.M.S./PARA,Vale Transporte,1203
363 - Vila Manoel Satiro/C,Estudante,128
363 - Vila Manoel Satiro/C,Gratuidade,43
363 - Vila Manoel Satiro/C,Inteira,97
363 - Vila Manoel Satiro/C,Vale Transporte,305
364 - LAGOA/RIOMAR/JOSE JA,Estudante,219
364 - LAGOA/RIOMAR/JOSE JA,Gratuidade,64
364 - LAGOA/RIOMAR/JOSE JA,Inteira,185
364 - LAGOA/RIOMAR/JOSE JA,Vale Transporte,341
365 - Bela Vista/Viriato R,Estudante,226
365 - Bela Vista/Viriato R,Gratuidade,96
365 - Bela Vista/Viriato R,Inteira,212
365 - Bela Vista/Viriato R,Vale Transporte,585
366 - Bom Jardim 2,Estudante,472
366 - Bom Jardim 2,Gratuidade,145
366 - Bom Jardim 2,Inteira,797
366 - Bom Jardim 2,Vale Transporte,1162
367 - Cj Ceara/Bom Jardim,Estudante,244
367 - Cj Ceara/Bom Jardim,Gratuidade,66
367 - Cj Ceara/Bom Jardim,Inteira,273
367 - Cj Ceara/Bom Jardim,Vale Transporte,384
368 - CJ CEARA/BOM JARDIM/,Estudante,75
368 - CJ CEARA/BOM JARDIM/,Gratuidade,28
368 - CJ CEARA/BOM JARDIM/,Inteira,84
368 - CJ CEARA/BOM JARDIM/,Vale Transporte,90
369 - Parque Presidente Va,Estudante,619
369 - Parque Presidente Va,Gratuidade,218
369 - Parque Presidente Va,Inteira,775
369 - Parque Presidente Va,Vale Transporte,1033
371 - Parangaba/Centro/Exp,Estudante,636
371 - Parangaba/Centro/Exp,Gratuidade,259
371 - Parangaba/Centro/Exp,Inteira,847
371 - Parangaba/Centro/Exp,Vale Transporte,1061
372 - ARACAPE/PARANGABA 1,Estudante,768
372 - ARACAPE/PARANGABA 1,Gratuidade,195
372 - ARACAPE/PARANGABA 1,Inteira,1123
372 - ARACAPE/PARANGABA 1,Vale Transporte,1524
374 - ARACAPE/CENTRO,Estudante,261
374 - ARACAPE/CENTRO,Gratuidade,42
374 - ARACAPE/CENTRO,Inteira,201
374 - ARACAPE/CENTRO,Vale Transporte,647
375 - Aracape/Parangaba,Estudante,594
375 - Aracape/Parangaba,Gratuidade,162
375 - Aracape/Parangaba,Inteira,865
375 - Aracape/Parangaba,Vale Transporte,1256
376 - Parque Santa Cecilia,Estudante,520
376 - Parque Santa Cecilia,Gratuidade,209
376 - Parque Santa Cecilia,Inteira,743
376 - Parque Santa Cecilia,Vale Transporte,937
377 - Cj Jose Walter/Paran,Estudante,871
377 - Cj Jose Walter/Paran,Gratuidade,207
377 - Cj Jose Walter/Paran,Inteira,898
377 - Cj Jose Walter/Paran,Vale Transporte,1428
